Security Code,Security Id,Security Name,Status,Group,Face Value,ISIN No,Industry,Instrument,Sector Name,Industry New Name
500002,ABB,ABB India Ltd,Active,A ,2,INE117A01022,Heavy Electrical Equipment,Equity,Industrials,Capital Goods
500003,AEGISLOG,Aegis Logistics Ltd,Active,A ,1,INE208C01025,Trading - Gas,Equity,Energy,"Oil, Gas & Consumable Fuels"
500008,ARE&M,Amara Raja Energy & Mobility Ltd,Active,A ,1,INE885A01032,Auto Components & Equipments,Equity,Consumer Discretionary,Automobile and Auto Components
500009,AMBALALSA,Ambalal Sarabhai Enterprises Ltd,Active,X ,10,INE432A01017,Pharmaceuticals,Equity,Healthcare,Healthcare
500012,ANDHRAPET,Andhra Petrochemicals Ltd,Active,X ,10,INE714B01016,Commodity Chemicals,Equity,Commodities,Chemicals
500013,ANSALAPI,Ansal Properties & Infrastructure Ltd,Active,Z ,5,INE436A01026,Residential- Commercial Projects,Equity,Consumer Discretionary,Realty
500014,UTIQUE,Utique Enterprises Ltd,Active,X ,10,INE096A01010,Precious Metals,Equity,Commodities,Metals & Mining
500016,ARUNAHTEL,Aruna Hotels Ltd,Active,X ,10,INE957C01019,Hotels & Resorts,Equity,Consumer Discretionary,Consumer Services
500020,BOMDYEING,Bombay Dyeing & Manufacturing Company Ltd,Active,A ,2,INE032A01023,Other Textile Products,Equity,Consumer Discretionary,Textiles
500023,ASIANHOTNR,Asian Hotels (North) Ltd,Active,T ,10,INE363A01022,Hotels & Resorts,Equity,Consumer Discretionary,Consumer Services
500027,ATUL,Atul Ltd,Active,A ,10,INE100A01010,Specialty Chemicals,Equity,Commodities,Chemicals
500028,ATVPR,ATV Projects India Ltd,Active,X ,10,INE447A01015,Industrial Products,Equity,Industrials,Capital Goods
500031,BAJAJELEC,Bajaj Electricals Ltd,Active,A ,2,INE193E01025,Household Appliances,Equity,Consumer Discretionary,Consumer Durables
500032,BAJAJHIND,Bajaj Hindusthan Sugar Ltd,Active,A ,1,INE306A01021,Sugar,Equity,Fast Moving Consumer Goods,Fast Moving Consumer Goods
500033,FORCEMOT,Force Motors Ltd,Active,A ,10,INE451A01017,Passenger Cars & Utility Vehicles,Equity,Consumer Discretionary,Automobile and Auto Components
500034,BAJFINANCE,Bajaj Finance Ltd,Active,A ,2,INE296A01024,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services
500038,BALRAMCHIN,Balrampur Chini Mills Ltd,Active,A ,1,INE119A01028,Sugar,Equity,Fast Moving Consumer Goods,Fast Moving Consumer Goods
500039,BANCOINDIA,Banco Products (India) Ltd,Active,B ,2,INE213C01025,Auto Components & Equipments,Equity,Consumer Discretionary,Automobile and Auto Components
500040,ABREL,Aditya Birla Real Estate Ltd,Active,A ,10,INE055A01016,Paper & Paper Products,Equity,Commodities,Forest Materials
500041,BANARISUG,Bannari Amman Sugars Ltd,Active,B ,10,INE459A01010,Sugar,Equity,Fast Moving Consumer Goods,Fast Moving Consumer Goods
500042,BASF,BASF India Ltd,Active,A ,10,INE373A01013,Specialty Chemicals,Equity,Commodities,Chemicals
500043,BATAINDIA,Bata India Ltd,Active,A ,5,INE176A01028,Footwear,Equity,Consumer Discretionary,Consumer Durables
500048,BEML,BEML Ltd,Active,A ,10,INE258A01016,Construction Vehicles,Equity,Industrials,Capital Goods
500049,BEL,Bharat Electronics Ltd,Active,A ,1,INE263A01024,Aerospace & Defense,Equity,Industrials,Capital Goods
500052,BEPL,Bhansali Engineering Polymers Ltd,Active,B ,1,INE922A01025,Specialty Chemicals,Equity,Commodities,Chemicals
500058,BIHSPONG,Bihar Sponge Iron Ltd,Active,X ,10,INE819C01011,Sponge Iron,Equity,Commodities,Metals & Mining
500059,BINANIIND,Binani Industries Ltd,Active,T ,10,INE071A01013,Holding Company,Equity,Financial Services,Financial Services
500060,BIRLACABLE,Birla Cable Ltd,Active,B ,10,INE800A01015,Telecom -  Equipment & Accessories,Equity,Telecommunication,Telecommunication
500067,BLUESTARCO,Blue Star Ltd,Active,A ,2,INE472A01039,Household Appliances,Equity,Consumer Discretionary,Consumer Durables
500068,DISAQ,Disa India Ltd,Active,B ,10,INE131C01011,Industrial Products,Equity,Industrials,Capital Goods
500069,QUESTCAP,Quest Capital Markets Ltd,Active,X ,10,INE418C01012,Other Capital Market related Services,Equity,Financial Services,Financial Services
500074,BPL,BPL Ltd,Active,B ,10,INE110A01019,Consumer Electronics,Equity,Consumer Discretionary,Consumer Durables
500078,OAL,Oriental Aromatics Ltd,Active,B ,5,INE959C01023,Specialty Chemicals,Equity,Commodities,Chemicals
500083,CENTEXT,Century Extrusions Ltd,Active,B ,1,INE281A01026,Aluminium- Copper & Zinc Products,Equity,Industrials,Capital Goods
500084,CESC,CESC Ltd,Active,A ,1,INE486A01021,Integrated Power Utilities,Equity,Utilities,Power
500085,CHAMBLFERT,Chambal Fertilisers & Chemicals Ltd,Active,A ,10,INE085A01013,Fertilizers,Equity,Commodities,Chemicals
500086,EXIDEIND,Exide Industries Ltd,Active,A ,1,INE302A01020,Auto Components & Equipments,Equity,Consumer Discretionary,Automobile and Auto Components
500087,CIPLA,Cipla Ltd,Active,A ,2,INE059A01026,Pharmaceuticals,Equity,Healthcare,Healthcare
500089,DICIND,DIC India Ltd,Active,B ,10,INE303A01010,Printing Inks,Equity,Commodities,Chemicals
