Sl. No.,Book Name,Author Name
1,The Intelligent Investor,Benjamin Graham
2,Rich Dad Poor Dad,Robert T. Kiyosaki
3,Common Stocks and Uncommon Profits,Philip A. Fisher
4,Security Analysis,"Benjamin Graham, David Dodd"
5,The Little Book That Beats the Market,Joel Greenblatt
6,A Random Walk Down Wall Street,Burton G. Malkiel
7,One Up On Wall Street,Peter Lynch
8,The Essays of Warren Buffett,"Warren Buffett, Lawrence A. Cunningham"
9,The Millionaire Next Door,"Thomas J. Stanley, William D. Danko"
10,The Richest Man in Babylon,George S. Clason
11,How to Make Money in Stocks,William J. O'Neil
12,The Bogleheads' Guide to Investing,"Taylor Larimore, Michael LeBoeuf, Mel Lindauer"
13,Your Money or Your Life,"Vicki Robin, Joe Dominguez"
14,The Total Money Makeover,Dave Ramsey
15,The Dhandho Investor,Mohnish Pabrai
16,The Only Investment Guide You'll Ever Need,Andrew Tobias
17,The Money Game,Adam Smith
18,The Simple Path to Wealth,J.L. Collins
19,Fooled by Randomness,Nassim Nicholas Taleb
20,The Four Pillars of Investing,William J. Bernstein
21,The Alchemy of Finance,George Soros
22,The White Coat Investor,James M. Dahle
23,The Coffeehouse Investor,Bill Schultheis
24,The Behavior Gap,Carl Richards
25,The Barefoot Investor,Scott Pape
26,The Little Book of Common Sense Investing,John C. Bogle
27,The Little Book of Value Investing,Christopher H. Browne
28,The Warren Buffett Way,Robert G. Hagstrom
29,The Little Book That Still Beats the Market,Joel Greenblatt
30,The Most Important Thing,Howard Marks
31,Pioneering Portfolio Management,David F. Swensen
32,The Dao of Capital,Mark Spitznagel
33,Against the Gods: The Remarkable Story of Risk,Peter L. Bernstein
34,The Big Short,Michael Lewis
35,Liar's Poker,Michael Lewis
36,The Black Swan,Nassim Nicholas Taleb
37,Flash Boys,Michael Lewis
38,The Snowball: Warren Buffett and the Business of Life,Alice Schroeder
39,Reminiscences of a Stock Operator,Edwin Lefèvre
40,When Genius Failed,Roger Lowenstein
41,Freakonomics,"Steven D. Levitt, Stephen J. Dubner"
42,The Little Book of Behavioural Investing,James Montier
43,The Margin of Safety,Seth Klarman
44,The Essays of Warren Buffett: Lessons for Corporate America,"Warren Buffett, Lawrence A. Cunningham"
45,The Zurich Axioms,Max Gunther
46,More Money Than God,Sebastian Mallaby
47,The Little Book That Builds Wealth,Pat Dorsey
48,The Investment Answer,"Daniel C. Goldie, Gordon S. Murray"
49,The Future for Investors,Jeremy J. Siegel
50,Capital Ideas,Peter L. Bernstein
