INSTRUMENT,QTY.,AVG. COST,LTP,INVESTED,CUR. VAL,P&L
ASIANPAINT,15,2586.67,2353.15,38800,35297.25,-3502.75
BAJAJHFL,428,70,123.9,29960,53029.2,23069.2
BCLIND,201,61.28,39.97,12317.32,8033.97,-4283.35
BERGEPAINT,144,522.47,576.1,75235,82958.4,7723.4
BHARTIARTL,140,411.43,1814,57600,253960,196360
BLUESTARCO,12,252,1560,3024,18720,15696
CAMPUS,100,306,257.75,30600,25775,-4825
COALINDIA,300,313.23,404.8,93970,121440,27470
CONCOR,150,508,730.5,76200,109575,33375
DMART,30,3804.87,4189.7,114146,125691,11545
